url,title,current_price,max_price
https://www.cdkeys.com/ea-sports-fc-24-fc-24-12000-fc-points-bundle-pc-ea-app,EA Sports FC 24 + FC 24 12000 FC Points Bundle PC,147.99,1.0
https://www.cdkeys.com/rematch-pc-steam,REMATCH PC,15.49,30.0
https://www.cdkeys.com/fortnite-transformers-pack-ps5-eu,Fortnite Transformers Pack PS5 (Europe & UK),19.99,3.0
https://www.cdkeys.com/marvels-spider-man-remastered-ps5-eu,Marvel's Spider - Man Remastered PS5 (EU & UK),26.49,26.49
